Combo,RMSE,R_squared
Combo_120min_Collapseall_Final,1.2934574682109345,0.103836700173083
Combo_120min_Dayofweek_Final,1.2921156968311445,0.10569501034797935
Combo_120min_Weekendsplit_Final,1.2890955126672805,0.1098708115749446
Combo_180min_Collapseall_Final,1.3344656770323724,0.10314401516444838
Combo_180min_Dayofweek_Final,1.3356851552557056,0.10150411375748802
Combo_180min_Weekendsplit_Final,1.317949480646675,0.12520675449169194
Combo_30min_Collapseall_Final,1.2354651557333969,0.09875911485788225
Combo_30min_Dayofweek_Final,1.2370054932497274,0.09651043867176468
Combo_30min_Weekendsplit_Final,1.2401531433394444,0.09190659943312851
Combo_360min_Collapseall_Final,1.379835285298406,0.07815384226801148
Combo_360min_Dayofweek_Final,1.3900003436404536,0.06452158323598534
Combo_360min_Weekendsplit_Final,1.3813786681850535,0.07609046949057052
Combo_60min_Collapseall_Final,1.350013352971311,0.10658275160639452
Combo_60min_Dayofweek_Final,1.3469095375978934,0.1106861398877198
Combo_60min_Weekendsplit_Final,1.3402177246669076,0.11950089459358249
Combo_720min_Collapseall_Final,1.4212527758659306,0.06464403712912237
Combo_720min_Dayofweek_Final,1.410112412545866,0.07924997705862558
Combo_720min_Weekendsplit_Final,1.4027666743974774,0.08881796842271272
